name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
Rajiv Gandhi Gramin Bhoomihin Krishi Majdoor Nyay Yojana,rggbkmny,"The state government has started the ""Rajiv Gandhi Landless Agricultural Laborer Justice Scheme"" with a view to providing strength to farmers. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rajiv Gandhi Kisan Nyay Yojana,rgkny,"Rajiv Gandhi Kisan Nyay Yojana is a scheme of the Government of Chhattisgarh for the farmers. This scheme was launched on 21 May 2020, on the death anniversary of Rajiv Gandhi.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rajiv Gandhi Kisan Nyay Yojana (Chhattisgarh),rajiv-gandhi-kisan-nyay-yojana-chhattisgarh,"Input subsidy scheme for farmers in Chhattisgarh providing per-acre financial assistance for paddy, maize, sugarcane, and other crops.","Rs. 9,000 per acre for paddy. Rs. 10,000 per acre for sugarcane. Support for other crops as notified. Maximum payable amount varies.",All registered farmers in Chhattisgarh growing notified crops. Must have sold produce at procurement centers.,Register on Rajiv Gandhi Kisan Nyay portal. Sell produce at procurement center.,Land records (B1/P2). Aadhaar Card. Bank account details.,,state,active,embedded,"{male,female,transgender}",,,,,,,,f,,,,
Rajiv Gandhi Krishak Sathi Sahayta Yojana,rgkssy,"The Rajiv Gandhi Krishak Sathi Sahayta Yojana offers financial support to farmers, farmworkers, and market laborers who are accidentally injured or killed while working in agriculture or at agricultural markets.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rajya Dairy Udhyamita Vikas Yojna,rduvy,"The ""Rajya Dairy Udhyamita Vikas Yojna"", under the Animal Husbandry Department of Chhattisgarh, aims to promote dairy entrepreneurship among youth. With the increasing demand for milk and dairy products, the scheme supports high-breed cow/buffalo rearing as a profitable business.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rajya Samekit Sahkari Vikas Yojana - Ganga Gaay Mahila Dairy Yojana,rssvyeggmdy,"The scheme aims to promote dairy entrepreneurship among women, Scheduled Castes, Scheduled Tribes, and general category members of cooperative societies by providing financial assistance through subsidies and loans for the purchase of milch cows and buffaloes.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Ramie Crop Scheme,rcs,The objective of the scheme is to encourage cultivation of perennial and remunerative textile crop such as Ramie in suitable areas by providing necessary inputs and training.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Reactivation Of Fisheries Cooperative Societies"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",mmky-rfcs,"The objective of the ""Reactivation Of Fisheries Cooperative Societies"" scheme is to provide a one-time revolving fund of ₹2,00,000/- to each eligible Primary Fishermen Cooperative Society for working capital of the society and improvement of the socio-economic status of the members in the long run.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rearing Pond Construction Scheme,rpcs,"The ""Rearing Pond Construction Scheme"" by the Department of Agriculture, Animal Husbandry, and Cooperation, Government of Jharkhand, aims to promote fish farming by providing financial aid for constructing rearing ponds. Beneficiaries receive up to 80% government assistance for Scheduled Castes (SC)",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Regional Centre for Training and Production of Mushroom,rctpm,The objective of the scheme is to train farmers in the method of mushroom cultivation and to supply quality spawn and pasteurized compost to farmers.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Registration for Crop Procurement,rfcp,The scheme aims to ensure fair crop prices for farmers by facilitating government procurement and provides easy online registration for landholding farmers to sell their crops at minimum support price. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Registration of Aromatic Plant Farmers - Centre for Aromatic Plants,rapf,"The registration ensures that farmers are eligible to access the benefits of all schemes offered by CAP, including state and central government subsidies, technical guidance, training programs, and product clearance support.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Registration of Herb Cultivators - Herbal Research and Development Institute, Uttarakhand",rhc,"It aims to register cultivators who grow medicinal and aromatic plants, make the process of using their cultivated herbs easier, and stop the illegal collection of herbs from forests.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Relief During Natural Calamities Such as Cyclone, Flood or Fire (Sainik Welfare)",rdnccff-sw,"""Relief During Natural Calamities Such as Cyclone, Flood or Fire"" is a Welfare Scheme by the Armed Forces Flag Day Fund of the Dept of Sainik Welfare, Puducherry. Through this scheme, up to ₹40,000/- is provided to the registered ESM / Widows/Dependents of ESM as a relief during natural calamities.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Replanting & Rejuvenation of Coconut Garden"" by the Coconut Development Board",rrcgcdb,"Through the scheme “Replanting & Rejuvenation of Coconut Garden (R&R)"" by the Coconut Development Board, the coconut farmers are provided financial assistance through DBT (Direct Benefit Transfer) mode for the cutting & removal, replanting, and for integrated management practices.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Reservoir Fisheries Development Scheme,rfds,"The scheme ""Reservoir Fisheries Development Scheme"" by the Department of Fisheries, Government of Jharkhand, enhances fish production and livelihood opportunities for registered fisheries cooperatives through the provision of fish fingerlings, boats, and nets.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Revised Scheme For Incentives To Milk Producers,rsimp,BRIEF DESCRIPTION: The scheme aims to encourage farmers and youth in Goa to take up Dairy business to increase local milk production and achieve state self-sufficiency. It offers a 40% composite subsidy on milk proceeds (incentive and cattle feed subsidy) to eligible resident farmers.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
RKVY Soil Health and Fertility - Soil Health Card,rkvyshfshc,"Soil Health Card is designed to give each farmer soil nutrient status of his/her holding and advice him/her on the dosage of fertilizers and also the needed soil amendments, that s/he should apply to maintain soil health in the long run. ",,,,,,central,active,myscheme,,,,,,,,,f,,,,
RKVY Soil Health and Fertility Village level Soil Testing Lab,rkvyshfvlstl,"In order to promote soil test analysis in a campaign mode and to create awareness among farmers about soil health for judicious use of chemical fertilisers, organic manure, the component of “Setting of Village-level Soil Testing Laboratories” is being implemented under the scheme.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Rotavator/Thresher Machine Equipment Assistance Scheme,rtmeas,The scheme aims to support BPL Scheduled Tribe farmers in tribal areas by providing financial assistance to purchase rotavators and thresher machines.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rythu Bandhu Investment Support Scheme (Telangana),rythu-bandhu-investment-support-scheme-telangana,"Investment support of Rs. 10,000 per acre per year for all agricultural land-owning farmers in Telangana for crop investment.","Rs. 5,000 per acre per season (two seasons = Rs. 10,000/year). Directly credited to farmer's bank account.",All farmers owning agricultural land in Telangana. No income limit. Pattadar passbook is required.,Automatic identification through land records. Amount credited before each season.,Pattadar Passbook. Aadhaar Card. Bank account details.,,state,active,embedded,"{male,female,transgender}",,,,,,,,f,,,,
Rythu Bima Scheme,rythu-bima,Rythu Bandhu Farmer Group Life  Insurance Scheme for Farmers” is a life insurance scheme by the Government of Telangana that provides insurance coverage to the nominee of a farmer in case of the farmer’s death. It is free for farmers and is implemented through LIC.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Rythu Bima (Telangana Farmer Insurance),rythu-bima-telangana-farmer-insurance,Free life insurance scheme for all enrolled farmers in Telangana providing Rs. 5 lakh coverage with premium paid by state government.,Life insurance cover of Rs. 5 lakh. Premium fully paid by Telangana government. Nominee gets Rs. 5 lakh on death of farmer.,All farmers aged 18-59 enrolled under Rythu Bandhu in Telangana.,Automatic enrollment for Rythu Bandhu beneficiaries. No separate application needed.,Pattadar Passbook. Aadhaar Card. Nominee details.,,state,active,embedded,"{male,female,transgender}",18,59,,,,,,f,,,,
Saansad Adarsh Gram Yojana,sagy,"Saansad Adarsh Gram Yojana aims to translate the comprehensive vision of Mahatma Gandhi about an ideal Indian village into reality, keeping in view the present context. Each Member of Parliament adopts a Gram Panchayat and guides its holistic progress giving importance to social development.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
Sabji Shetra Vistar Yojana,ssvy,"Under the Sabji Shetra Vistar yojana, selection of vegetables through quality high yielding varieties to expand the area of crops and increase production.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Sardar Patel Agriculture Research Award,spara,"The scheme “Sardar Patel Agriculture Research Award” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat on 30.10.1995. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Saur Sujala Yojana,ssyc,"The Saur Sujala Yojana is to set up solar irrigation pumps for the irrigation needs of the farmers. The scheme has been started on November 01, 2016, with the aim of empowering the farmers by providing irrigation pumps to the farmers at subsidized rates. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheduled Caste Sub Plan (SCSP): Electrification of Wells of Scheduled Caste Farmers,scsp-ewscf,The scheme aims to provide agricultural electricity connections on a priority basis to Scheduled Caste farmers. Benefits include electrification of wells and free domestic electricity connections for Scheduled Caste farmers and beneficiaries across Gujarat.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheduled Castes Unsalaried Credit Co-operative Society and Credit and Supply Co-operative Scheme for Providing Managerial Assistance and Computer–Furniture to the Society,scuccocsc,The scheme aims to uplift Scheduled Castes by providing managerial salary and computer–furniture assistance to eligible cooperative societies.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheduled Tribe/Scheduled Caste Subplan,stscss,The scheme aims to promote fish farming as a sustainable livelihood opportunity among individuals and groups belonging to the Scheduled Castes and Scheduled Tribes.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Assistance on Purchase of Smartphone by the Farmers,sapsf,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to farmers for purchasing smartphones, enabling them to access agricultural technology, weather updates, pest control techniques, and government assistance.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Conservation and Development of Indigenous Cattle and Murrah Development,scdicmd,"The scheme is implemented by the Department of Animal Husbandry & Dairying, Government of Haryana with the objective of encouraging the farmers for conservation and development of the indigenous breeds of cows and buffaloes. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Construction of Ideal Fish Pond in Hilly Areas,ifpcsiha,The scheme aims to encourage individuals and groups to construct fish ponds by providing financial assistance and to promote sustainable fish farming while enhancing livelihood opportunities in the hilly regions of the state.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Establishment of Backyard Poultry Units,sebpu,"The objective of the scheme is to improve the socio-economic and nutritional status of the poor families, small farmers and landless agricultural labourers and other economically weaker section of the society.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Establishment of Backyard Poultry Units under Mukhya Mantri Antyodaya Parivaar Utthan Yojana,sebpummapuy,"Under this scheme, 50 chicks of 10 days of age from the Government Hatchery Farm along with two feeders and two water drinkers are provided free of cost to each beneficiary family at their doorstep.  ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Establishment of Hi-Tech and Mini Dairy Units,sehtmdu,"Under this scheme, unemployed persons will be assisted by way of providing financial assistance in form of subsidy for establishing dairy units of 4, 10, 20 & 50 milch animals like buffaloes, indigenous cows (Hariana, Sahiwal, Belahi, Red Sindhi, Tharparkar and Gir breeds only) and crossbred cows.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Establishment of Hi-Tech and Mini Dairy Units under Mukhya Mantri Antyodaya Parivaar Utthan Yojana,seh-tmdummapuy,"Under this scheme, a resident of Haryana who is between 18 and 60 years of age can avail a 25% subsidy on the cost of two milch animals. The subsidy can be availed as a loan for the purchase of these milch animals by the beneficiary for the establishment of dairy units with two milch animals.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Fencing in Gardens,sfguk,"The scheme aims to protect fruit plants, horticultural crops, and orchards from wild animals by providing financial assistance for fencing.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Fruit and Vegetable Preservation and Training Program in Horticulture Department HRT 5,sfvptphdf,"The ""Scheme for Fruit and Vegetable Preservation and Training Program in Horticulture Department HRT 5"" aims to enhance the skills of women through training on value addition, preservation, and kitchen gardening of horticultural produce, while also providing a daily stipend and training support.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Granting Assistance to Processing Units in APMC (General Area),sgapug,The scheme aims to promote agro-processing and value addition by providing capital investment assistance to private entrepreneurs operating in regulated APMC areas (general zones).,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Integrated Development for Horticulture (HRT-2),sfidfh,"The scheme ""Scheme for Integrated Development for Horticulture (HRT-2)"" aims to promote holistic horticultural growth through financial assistance for production, processing, marketing, and infrastructure support to farmers across Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Management and Purchase of Bulls Provided for Breeding of State Gir/ Kankarej Breed,smpbpbs,"The scheme provides financial assistance to registered Gaushalas for rearing purebred Gir or Kankrej male cow calves with high genetic quality to promote pure breeding in indigenous cattle.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Promotion of Protected Cultivation of Commercial Horticultural Crops,sfppcchc,"The scheme aims to promote the protected cultivation of commercial horticultural crops by providing financial assistance to farmers. The scheme supports greenhouse, shade net, low tunnel, plastic mulching, bird/hail net, and cultivation of vegetables and flowers under polyhouse/shade net house.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Scheme for Providing Employment Opportunities by Establishing Piggery, Sheep and Goat Units (General)",speoepsgug,"This scheme is a credit linked scheme with a primary objective of providing self-employment opportunities, the unemployed persons will be assisted by way of establishing Sheep or Goat Units (15 female+1 male) and Piggery Unit (10 female+1 male). ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Scheme for Providing Employment Opportunities by Establishing Piggery, Sheep and Goat Units (General) under Mukhya Mantri Antyodaya Parivaar Utthan Yojana",speoepsgugmmapuy,"Under this scheme, an unemployed resident of Haryana who is between 18 and 60 years of age can avail a 25% subsidy on the cost of livestock, provided they have taken a loan for establishing a 10+1 Piggery unit or a 15+1 Sheep/Goat unit.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Providing Employment Opportunities to Scheduled Castes by Establishing Livestock Units,speoscelu,"This is a credit-linked scheme with a primary objective of providing self-employment opportunities to Schedule castes, the unemployed persons will be assisted by way of establishing Dairy units, Piggery units, and Sheep/Goat units.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Providing Employment Opportunities to Scheduled Castes by Establishing Livestock Units under Mukhya Mantri Antyodaya Parivaar Utthan Yojana,speoselummapuy,"Under the scheme, an unemployed resident of Haryana belonging to the Scheduled Caste category can avail a subsidy for purchasing livestock. This subsidy will be provided after the establishment of the livestock units and can be availed as a loan by the beneficiary. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Rearing Purebreed Gir/ Kankarage Male Cow Calves with Excellent Genetic Quality,sfrpgkgq,The scheme provides financial assistance to registered Gaushalas for rearing purebred Gir or Kankrej male cow calves with high genetic quality to promote pure breeding in indigenous cattle.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm,ssieemaf,"The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for the State Cattle Breeders” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm For Scheduled Caste,ssiemafsc,"The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for Scheduled Caste” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm For Scheduled Tribe,ssiemafst,"The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for Scheduled Tribe” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Govt. of Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Supply of Improved Seeds for Fodder,sfsoisf,"The ""Scheme for Supply of Improved Seeds for Fodder"" aims to supply improved quality fodder seeds to registered Gaushalas and Panjarapols to ensure round-the-year green fodder availability for livestock.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Supply of Male Goat on Subsidy Basis,sfsomgosb,"""Male Goat Supply Scheme on Grant Basis"" aims to improve the breed of indigenous/local goats throughout the state. Through this scheme, one male goat of an improved breed (Jamnapari, Barbari, or Sirohi Bakra) is provided to goat farmers of all categories on a grant basis.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on 1st Year Lease Money,so1ylm,The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and to uplift these families by promoting fish farming through financial assistance for leasing Panchayati ponds or watershed areas. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on 2nd Year to 5th Year Lease Money,so2yt5ylm,"The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their economic status by promoting fish farming through financial assistance for leasing Panchayati ponds or watershed areas. 
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for the Welfare of Schedule Caste Families in Fisheries Sector: Subsidy on Annual Auction of Notified Waters,faotaaonw,The objective of the scheme is to provide full-time employment to individuals from Scheduled Caste families in the fisheries sector and uplift their socio-economic status by promoting fish farming through subsidization of fishing contract costs in designated water bodies. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme for Upgradation of Gaushala/ Panjrapole,sfugp,"The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme of Assistance for Management of Stray Cattle,samsc,This scheme provides financial support to local self-government bodies and registered Panjrapoles to reduce or eradicate the problem of stray cattle by encouraging their maintenance and proper care.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties,spdicv,"The ""Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties""  introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to promote the cultivation and production of local cotton seed varieties across Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme of Providing Assistance to Encourage Farmers for Adoption of Organic Farming,spafof,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to promote organic farming by providing financial assistance to farmers for certification, input subsidies, and residue testing. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme Of Provision Of Subsidized Rams To Sheep Breeders,rams-to-sheep-breeders,"The Department of Animal Husbandry, Government of Himachal Pradesh has introduced a scheme named ""Scheme of provision of subsidized Rams to Sheep Breeders""  to improve the Quality and Quantity of Wool being produced in the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil,splfom,"The ""Scheme on Promotion of Use of Liquid Fermented Organic Manure (LFOM) for Increasing Organic Carbon in Soil"" offers financial assistance to promote the use of Liquid Fermented Organic Manure (LFOM) and enhance organic carbon levels in soil.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole,saifgp," ""Scheme to Assist for Infrastructural Facilities for Gaushalas & Panjrapole"" aims to support animal welfare organizations like gaushalas and panjrapoles by offering financial assistance for the development and construction of essential infrastructure.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Give Incentive-Prize to Gaushala/ Panjrapole,sgipgp,"The ""Scheme to Give Incentive-Prize to Gaushala/ Panjrapole"" focuses on enhancing the management and operation of Gaushalas and Panjrapoles by offering incentive prizes to the top performers.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Increase Seed Replacement Rate (SRR),stisrr,"The ""Scheme to Increase Seed Replacement Rate (SRR)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to improve crop productivity through providing certified seeds at subsidized rates to all farmers across the state.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Promote Mechanization for the Development of Horticulture,stpmtdh,The scheme aims to promote mechanization for the development of horticulture by providing subsidies to farmers for purchasing modern agricultural machinery used in horticultural crops.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Assistance for Construction of Retail Outlets/ Agricultural Malls in State Market Committees,spacroam,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support market committees in constructing retail outlets and agricultural malls to facilitate direct selling of farmers' produce, ensuring better pricing and increasing farmers' income.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Assistance for Setting Up Farmer Support Centers in State Market Committees and for Computerization of All Market Committees,spafsg,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to establish farmer support centers at market committee levels and computerize all market committees in Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Assistance to Processing Units in State Market Committees,apapusmc,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to support market committees in Gujarat by providing financial assistance for the establishment of processing units.

",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Assistance to Sate Market Committees as well as Taluka-District Co-operative Purchase and Sale Union to Construct Large Size Warehouse Godowns,spsmct,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to State Market Committees and Taluka-District Co-operative Purchase and Sale Unions for constructing large-sized warehouse godowns",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,spfasae,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm,spatsp,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing solar power units/kits for solar fencing around their farms to protect crops from damage caused by wild and stray animals.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training,spspwdpf,"The ""Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training"" aims to promote poultry rearing skills among persons with disabilities through a ₹2,000/- stipend for attending a 7-day training program conducted by the Intensive Poultry Development Unit.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Seed Farms Scheme,sfs,"The objective of the scheme is the production of high-quality seeds of cereals, pulses, oilseeds, etc. and for raising Horticultural seedlings such as orange, coconut, arecanut etc. for distribution to cultivators.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Seed Grant,sdu,The scheme aims to provide seeds to farmers at a concessional rate during Kisan Melas with a subsidy of up to 15%.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds and Cotton",smsopm,"The “Seed Multiplication Scheme of Paddy, Millets, Pulses, Oilseeds, and Cotton” offers subsidies to farmers to produce seeds under contract with the Department of Agriculture.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Seed Program,sp,The scheme aims to provide free vegetable seeds to small and marginal farmers and agricultural laborers living below the poverty line.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Seed Testing Laboratory Scheme,stlsmeghalaya,The objective of the scheme is to assist seed testing services to farmers to ensure the viability and purity of seed to be sown.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Semi-Commercial Duck Farming,scdf,"The scheme “Semi-Commercial Duck Farming” started under the State Sector Scheme ""Encouragement of Commercial Poultry Entrepreneur and Promotion of Backyard Poultry Production"" to support small entrepreneurs in setting up Duck farms with a capacity of 1000 ducks.
",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Shednet House,sh,"The Shednet House provided subsidies to farmers so they could earn more income by cultivating horticultural crops like vegetables, flowers, fruits, etc. by controlling the agro-climatic factors, temperature, humidity, and sunlight.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Sheti Samrudhi Yojana,ssy-goa,"The scheme aims to provide financial assistance to facilitate community level action for agriculture growth and management of natural resources. It offers financial assistance, wages for personnel, and funding for necessary office equipment for Tribal Farmers Co-operative.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Silage evam Dudharu Pashu Poshan Yojana,sedpy,The scheme aims to improve the nutrition of dairy animals and enhance milk production by providing subsidized silage and feed to members of milk cooperative societies. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Silk Tree Plantation,rv,"The scheme aims to promote mulberry cultivation and silkworm rearing among farmers in Uttarakhand by providing financial assistance, technical support, and organized cluster-based sericulture activities to enhance their income and livelihood.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Silkworm Rearing Chamber,kk,"The scheme aims to promote sericulture & enhance silk production among farmers by providing financial assistance for establishing dedicated silkworm rearing chambers. Under this scheme, farmers are provided financial support of upto ₹1,00,000 (80:10:10 pattern) for construction of rearing chambers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Silkworm Rearing Equipment,ku,"The scheme aims to support individuals in silkworm rearing by providing necessary equipment, financial assistance, and technical guidance. Under this scheme, financial assistance of upto ₹40,000/- is provided to individuals for procuring essential equipment required for silkworm rearing.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Simplification of Sale Process of Herbal Products - Herbal Research and Development Institute, Uttarakhand",sephp,"The scheme aims to simplify the sale process of medicinal and aromatic products produced by cultivators, enabling them to legally and easily sell their produce through authorized markets or buyers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Sinchai Pipeline Karyakram,spk,"In ""Sinchai Pipeline Karyakram"" Rajasthan government will provide subsidies to farmers on purchasing irrigation pipelines. So that farmers can get rid of the problem of irrigation. And their income can increase.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Skill Development Programme- Uttarakhand,sdpuk,"The scheme aims to enhance the employability and entrepreneurial skills of students, researchers, and farmers in the field of biotechnology, thereby promoting self-employment and entrepreneurship in emerging areas of the biotechnology sector.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Soil Health Card Scheme - Uttarakhand,shc,"The scheme aims to provide Soil Health Cards to all farmers in the state, helping them understand the nutrient composition of their soil and the type and quantity of fertilizers suitable for their crops.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Soil Resource Management and Inputs Quality Control,srmiqc,"Through the scheme “Soil Resource Management and Inputs Quality Control"", the farmers can give their soil and water samples to the soil testing lab for analysis and recommendation at completely free of cost.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Soil Testing Laboratory,stl,"Agriculture and Farmers' Welfare Department launched the ""Soil Testing Laboratory"" scheme for the farmer on 01 April 2013.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Solar Home System (Manohar Jyoti),sms-mj,"The ""Solar Home System (Manohar Jyoti)"" by the Renewable Energy Department, Government of Haryana, aims to promote renewable energy adoption and ensure sustainable power access through solar solutions. Through this scheme, a subsidized solar home lighting system is provided to families.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Solar Inverter Charger,sic,"The ""Solar Inverter Charger"" by the Renewable Energy Department, Government of Haryana, aims to promote the use of renewable energy and reduce electricity dependence by providing a subsidy of ₹6,000/- or ₹10,000/- for solar inverter charger systems to eligible households.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
